,Waveform,m1,m2,Merger Position,spin1z,spin2z,Distance,PSNAR
0,"[-4.52810044e-23  7.79406529e-23 -4.36254902e-23 ... -6.09770809e-23
  7.27062464e-23 -7.33078011e-25]",37.0,30.0,0,0.516,0.343,610,2.0555446506855564
1,"[ 4.70740566e-24  1.37059213e-22 -6.51317757e-23 ... -9.78867957e-23
  1.10731780e-22 -2.95631485e-22]",135.0,25.0,1,0.213,0.517,610,2.2695370119932465
2,"[-4.99600805e-23  1.96292900e-22  1.58242696e-22 ...  1.06280242e-23
  1.87612475e-22  1.38139726e-22]",64.0,53.0,1,0.088,0.246,610,3.9395809273084925
3,"[-5.21737367e-23 -2.73659620e-23 -8.19031362e-23 ...  7.77234260e-23
 -1.26267107e-22  7.30744810e-23]",144.0,69.0,2,0.756,0.063,610,6.097487350750069
4,"[ 1.93950784e-22  1.55562095e-22  4.24587987e-23 ...  8.75289349e-23
  4.28717334e-23 -1.15011408e-22]",135.0,80.0,0,0.753,0.645,610,7.766760651901447
5,"[-2.17470721e-22  1.72647040e-22  2.65749444e-22 ...  1.88724252e-23
 -2.58727721e-22  8.14235423e-23]",60.0,10.0,2,0.246,0.491,610,1.0903176867230528
6,"[ 1.31540217e-22  6.13279484e-25 -4.25406794e-23 ...  1.11197954e-22
 -5.44758565e-23 -1.07772388e-22]",35.0,15.0,0,0.62,0.756,610,1.4746500428801368
7,"[ 7.56237210e-23 -1.14023148e-22 -1.15019992e-23 ... -2.48449937e-23
 -1.33669067e-23 -1.35582728e-22]",137.0,90.0,0,0.501,0.703,610,7.613951613290088
8,"[-1.20887812e-22 -3.83433459e-23  1.11931432e-23 ... -3.14969633e-22
  3.16534433e-23  8.79758552e-23]",99.0,9.0,0,0.315,0.605,610,1.066241185030188
9,"[ 1.46007061e-22 -7.76755651e-23  6.45658526e-23 ... -2.16751164e-23
 -6.63860202e-23 -1.67701090e-24]",95.0,21.0,0,0.608,0.582,610,2.242048055330568
10,"[-8.76684667e-23 -1.09863449e-22 -6.32786948e-23 ...  1.24244246e-22
  2.22296386e-22  5.90819790e-23]",79.0,35.442,1,0.785,0.062,610,3.1457279503802282
11,"[-1.63327207e-22 -9.20444926e-23  3.57863017e-23 ...  1.78018885e-22
  2.32946459e-22  3.80634140e-24]",117.0,38.0,2,0.337,0.419,610,3.852060930781467
12,"[-3.42884515e-23 -9.45547667e-24 -5.29094885e-25 ... -1.73892983e-22
  1.50192007e-22 -9.93738952e-24]",132.0,47.0,1,0.115,0.584,610,4.31447682928628
13,"[-1.30749010e-22 -9.12801562e-24  1.25281383e-22 ... -1.96004656e-22
  6.04033413e-23 -1.14430232e-24]",41.0,15.0,2,0.041,0.624,610,1.4822016316649165
14,"[ 4.64962532e-23 -1.02598181e-22  3.99641396e-23 ... -9.54594803e-23
 -1.00770639e-22  1.31791599e-22]",147.0,16.0,1,0.273,0.172,610,1.9802158932123761
15,"[ 2.20480691e-23  3.35903206e-23 -6.99059066e-23 ...  5.47217321e-23
  7.04480286e-23 -8.36948593e-26]",42.0,22.0,0,0.654,0.164,610,1.9426492588105688
16,"[-9.34855781e-23  1.33141117e-23  7.21835275e-23 ...  3.33815518e-23
 -3.64451989e-23  2.32379436e-23]",135.0,70.0,2,0.018,0.528,610,5.861373468266328
17,"[-7.46013797e-23  7.03019011e-23 -1.84666831e-22 ...  1.13202053e-22
  8.13046676e-23 -6.44361120e-23]",134.0,100.0,0,0.567,0.37,610,8.221110364895788
18,"[ 2.11608481e-23 -1.80925320e-22  7.11923727e-23 ...  3.49125817e-23
 -1.40346656e-22  6.60451061e-23]",138.0,32.0,0,0.001,0.561,610,3.184909146307337
19,"[-1.74143523e-22  1.55243543e-22 -1.18280050e-22 ...  1.51879461e-22
  6.47070160e-23 -3.50725088e-23]",145.0,50.0,0,0.649,0.036,610,5.225915697842656
20,"[ 9.24565247e-23 -1.79518698e-22 -9.07003454e-24 ... -2.22170055e-22
 -9.65578710e-23  9.74822656e-23]",41.0,30.0,0,0.307,0.585,610,2.2929414805595245
21,"[-1.07602455e-22 -1.60908153e-22 -2.64078774e-23 ...  2.16446220e-22
  9.14585326e-23  1.20615780e-22]",139.0,60.0,2,0.775,0.498,610,4.714213280227911
22,"[ 4.83123938e-23  1.75083238e-22 -4.81987998e-23 ...  1.11325136e-22
 -2.36020036e-22 -1.19601856e-23]",109.0,12.0,0,0.646,0.101,610,1.4252853629124438
23,"[-1.69767304e-22  1.41514179e-22 -7.42155974e-23 ... -1.56436428e-22
 -5.25058974e-23  1.07156734e-22]",130.0,71.0,0,0.614,0.638,610,6.871089175922961
24,"[ 6.99194001e-23 -7.43726387e-23 -5.67472043e-23 ... -1.15860134e-22
  2.55711123e-22  1.63640401e-22]",138.0,115.0,1,0.479,0.584,610,8.398052804587113
25,"[ 2.41939222e-23  7.84693241e-24 -2.22683485e-24 ... -1.15205198e-22
  6.25819123e-23  6.38315207e-23]",48.0,19.0,0,0.37,0.624,610,1.8369210641597054
