,Waveform,m1,m2,Merger Position,spin1z,spin2z,Distance,PSNAR
0,"[-1.39352329e-22  8.59495723e-23 -4.59753544e-23 ... -6.25696647e-23
 -5.70157227e-23  1.22781729e-22]",76.0,42.0,1,0.152,0.004,810,2.9523235913813424
1,"[ 1.09268231e-22  2.36395895e-22 -8.50560672e-23 ...  5.02415609e-23
  1.80362931e-22 -2.62275360e-22]",99.0,12.0,0,0.161,0.604,810,0.9876146110663897
2,"[-1.70721986e-23 -2.17309642e-22  1.32837573e-22 ...  1.61497086e-23
  1.24677150e-22 -1.34047977e-22]",104.0,74.0,0,0.284,0.394,810,5.026646526670213
3,"[-1.33749188e-23 -1.47627551e-22 -4.36067598e-23 ... -7.10757504e-23
  1.08237926e-22  1.30508170e-22]",138.0,116.0,0,0.387,0.39,810,5.5659288650774155
4,"[ 2.44033059e-23  5.55969579e-24 -4.54606374e-23 ... -1.00036268e-23
  5.00389077e-23  8.85281477e-23]",13.0,1.0,0,0.549,0.403,810,0.07146297586308768
5,"[-1.13057793e-22  1.43835811e-24  1.51247206e-22 ... -2.87942866e-23
  1.69259745e-22  1.77220901e-22]",148.0,1.0,1,0.485,0.368,810,0.1171747734937392
6,"[ 1.53497401e-22 -8.41644695e-23  1.58735032e-22 ...  1.04333863e-22
 -1.04534848e-22  1.90302530e-22]",112.0,105.0,2,0.197,0.453,810,5.530660154143903
7,"[ 1.73714918e-22 -1.29960749e-22  1.71325499e-22 ... -7.30436416e-24
  9.30410393e-23 -7.98526040e-23]",135.0,15.0,0,0.69,0.065,810,1.2559945036964708
8,"[-1.44978941e-22  1.83911846e-22  9.64997394e-23 ...  5.47212177e-23
  1.62721657e-22  2.91464788e-23]",105.0,86.0,2,0.623,0.69,810,4.901608017445876
9,"[-1.31963434e-22 -1.30184828e-22  5.01697647e-23 ...  2.26657423e-22
  1.01561102e-22 -1.92687062e-22]",76.0,69.0,0,0.119,0.799,810,3.8977239396884618
10,"[ 7.30042367e-23 -7.23589328e-23 -3.03854233e-22 ...  7.00679785e-24
  1.61058765e-22  4.40079731e-23]",89.0,22.0,0,0.348,0.429,810,1.7452226864387501
11,"[-1.76117770e-22 -6.91511512e-24 -1.43922889e-22 ... -1.40513577e-22
 -1.85221985e-22  2.03027964e-22]",122.0,4.0,2,0.061,0.113,810,0.39081658405693376
12,"[ 5.25401966e-23 -4.06613873e-23 -7.65234061e-23 ... -6.05207850e-23
  1.14244088e-22  1.58212743e-22]",139.0,96.0,1,0.522,0.131,810,5.6368602779746615
13,"[-1.27974362e-22  7.23060342e-23  1.80910114e-22 ... -4.34482525e-22
  1.80719015e-22 -1.13266249e-22]",98.0,47.0,1,0.542,0.111,810,3.4308986086726563
14,"[-1.96428258e-23 -2.46857585e-23 -1.48522218e-22 ... -1.45043542e-22
 -3.28877217e-23  4.51652719e-23]",98.0,70.0,0,0.244,0.696,810,4.045596459696573
15,"[-2.02352138e-22  5.09138770e-24  4.33610339e-24 ... -9.33162646e-23
  6.31542068e-23 -1.13559773e-23]",113.0,66.0,0,0.252,0.714,810,4.735891276987356
16,"[-1.10305804e-22  2.00231689e-22 -2.36527006e-22 ...  1.89374881e-22
 -1.81874172e-22  6.96638892e-23]",25.0,1.0,1,0.138,0.031,810,0.09309594967660173
17,"[-1.22126947e-22  1.53143426e-22 -1.54241205e-22 ... -1.94749198e-22
  1.63485156e-22 -1.18769129e-22]",145.0,83.0,1,0.021,0.315,810,5.268782590521003
18,"[-7.80994945e-23 -6.81665916e-23 -1.97487300e-22 ...  2.49199449e-22
  2.43830107e-22  1.71277908e-22]",115.0,6.0,0,0.543,0.513,810,0.5650859109714049
19,"[-1.19831115e-22  1.04312846e-22  8.66516371e-23 ...  4.33467599e-22
 -2.59081768e-22  1.02546255e-22]",28.0,7.0,1,0.377,0.194,810,0.5751396763128054
20,"[-6.63326133e-23  6.14176477e-23  3.60766939e-23 ...  1.08420225e-22
 -1.83860599e-22  1.50561493e-23]",145.0,94.0,2,0.484,0.277,810,5.830641979247387
21,"[-1.21727031e-22  5.28320211e-23  1.35850580e-22 ...  2.32022001e-22
  1.19117420e-22 -7.15449903e-23]",78.0,40.0,1,0.301,0.241,810,3.0376918029735664
22,"[ 5.45854505e-23 -1.75046290e-23 -1.31102183e-22 ...  1.07584662e-22
 -6.80048684e-23 -5.39295151e-23]",91.0,7.0,1,0.553,0.186,810,0.6092969302023442
23,"[-8.26980515e-24 -2.84750444e-22  2.83781837e-22 ... -4.75164159e-24
 -2.41894639e-22  9.54980671e-23]",127.0,34.0,0,0.134,0.78,810,2.896408775076924
24,"[-4.95537713e-25 -7.03709009e-23  1.61911465e-22 ... -1.67368148e-22
  1.06088529e-22 -9.24108672e-23]",11.0,6.0,1,0.061,0.347,810,0.2920596389490398
25,"[ 2.39936236e-23  2.48929992e-23  2.98131742e-22 ... -1.21566898e-22
 -2.05478553e-23  8.73848698e-23]",115.0,99.0,0,0.325,0.274,810,6.09493923725466
26,"[ 8.71809405e-23  3.79739625e-23 -1.82410377e-22 ... -1.88112541e-23
 -4.32309804e-23  1.81774233e-23]",132.0,52.0,1,0.519,0.66,810,4.020816776364614
27,"[-9.42936308e-23 -5.37674412e-23 -1.85862344e-24 ... -8.39304184e-24
 -1.14743633e-22 -6.98218992e-23]",120.0,4.0,2,0.048,0.143,810,0.45535248966192804
28,"[-6.82422761e-23  6.91805603e-23 -1.71444772e-22 ...  5.91567802e-23
 -1.07392789e-22 -6.22275788e-23]",103.0,48.0,1,0.219,0.182,810,3.3451118330817278
29,"[-2.42784955e-22  1.65965903e-22 -9.20018382e-24 ...  5.60756763e-23
  3.83877435e-23  3.37082097e-23]",121.0,5.0,0,0.252,0.22,810,0.4927655804779504
30,"[-1.34407990e-22  8.12417968e-25  5.51034148e-23 ...  1.68688919e-22
  3.34375703e-23 -3.95560671e-23]",124.0,32.0,0,0.208,0.648,810,2.616737578120866
31,"[ 1.08159191e-22 -8.55752388e-25  3.31532371e-22 ...  1.32119351e-22
  3.07757829e-23  7.88027339e-23]",110.0,74.676,0,0.619,0.199,810,4.6209558435399325
32,"[ 3.07898762e-22 -3.48165897e-23  1.14977141e-22 ...  1.01385043e-22
  1.73902506e-22  2.37505001e-22]",64.0,59.0,0,0.682,0.399,810,3.214682748162127
33,"[-3.45960500e-22  9.38721451e-25  3.03799246e-22 ...  6.69775118e-23
 -9.82184415e-23  1.56973622e-22]",87.0,62.0,0,0.626,0.361,810,3.5675121752919066
34,"[-1.80078021e-22  7.79569433e-24 -2.31273625e-22 ... -2.14804941e-22
  1.50307255e-22  1.14223979e-22]",118.0,41.0,0,0.76,0.688,810,3.1613042005678125
35,"[-2.40418581e-22  2.73556200e-23 -2.05174297e-22 ...  3.83681038e-23
 -4.84338580e-23 -2.93999921e-22]",72.0,67.0,0,0.41,0.237,810,4.154060726279253
36,"[-7.30915860e-23 -6.64918817e-23  1.02800730e-22 ... -1.18376337e-22
  1.49585334e-22 -1.15483311e-23]",150.0,30.0,0,0.29,0.003,810,2.801181213028373
37,"[-8.86838875e-24 -1.89627263e-22  1.36113526e-22 ...  2.84252962e-23
  1.49052359e-22 -2.22726739e-22]",75.0,72.0,0,0.196,0.522,810,3.6724108110790756
38,"[ 1.48768755e-23  5.33505289e-23 -2.72399145e-22 ...  9.48913494e-23
 -5.71422763e-23 -3.67216866e-24]",49.0,40.0,0,0.176,0.365,810,2.1895858886938293
39,"[ 4.61967594e-23  1.23233703e-23  2.26606036e-22 ... -1.05176994e-22
  8.52933628e-23 -3.46838352e-23]",85.0,19.0,2,0.629,0.492,810,1.4544742422785848
40,"[-3.92989858e-23  7.49388681e-23  1.69491954e-22 ...  1.81806356e-22
  1.78713081e-22  2.97356354e-23]",74.0,21.0,2,0.431,0.522,810,1.7722913509094635
41,"[-3.08003575e-23  3.78254060e-23 -1.59167391e-22 ...  1.12341975e-23
  8.37850804e-23  1.11751563e-22]",126.0,55.0,0,0.193,0.103,810,4.080536817163395
