,Waveform,m1,m2,Merger Position,spin1z,spin2z,Distance,PSNAR
0,"[ 7.74649150e-23 -4.96876400e-24 -1.56955366e-22 ...  6.99555374e-23
  1.72823049e-22 -9.94559489e-23]",115.0,42.0,2,0.514,-0.699,610,4.051701089135282
1,"[-2.72817735e-23 -2.81200917e-22 -1.41489320e-22 ... -1.93446781e-22
 -1.10305115e-22 -3.27342086e-23]",87.0,24.0,2,-0.776,0.688,610,2.245680907953082
2,"[-2.20157067e-23 -1.59020007e-22  7.55716529e-23 ... -2.01337722e-22
 -1.82034955e-22 -1.19267730e-22]",75.0,31.0,1,0.448,-0.726,610,2.8489781814463724
3,"[-1.09177697e-22  9.94208409e-24 -1.48105014e-22 ...  8.92468877e-23
 -1.12457279e-22  1.81339783e-22]",87.0,52.0,0,-0.548,0.791,610,4.151458136675993
4,"[ 8.42731585e-25 -4.66923365e-24  1.23958239e-22 ... -1.36109990e-22
  1.10816513e-22  2.54864366e-22]",141.0,91.0,2,-0.602,0.764,610,8.058578262889444
5,"[-6.55002628e-23 -3.34267015e-23 -4.49358505e-23 ... -2.03587502e-22
  1.76918291e-24  1.28128558e-22]",134.0,8.0,0,0.676,-0.737,610,0.9656674217628011
6,"[-2.89312420e-22  1.81265199e-22 -7.32687176e-23 ... -1.78261337e-22
 -1.57233380e-22 -1.92483835e-22]",109.0,6.0,1,-0.618,0.512,610,0.7338180906619539
7,"[ 3.48417374e-22 -1.22669220e-22 -1.19093604e-22 ... -5.67516221e-23
  1.49601138e-22  2.27615692e-23]",129.0,112.0,1,-0.756,-0.032,610,6.494501593360251
8,"[ 1.54125353e-22 -4.17776324e-23 -1.04474529e-23 ... -2.97211733e-23
 -1.84843705e-22  7.24421102e-23]",134.0,64.0,1,0.503,-0.784,610,6.82354947350855
9,"[ 7.75897797e-24  9.30304804e-23 -4.78941786e-23 ... -1.60669397e-22
 -3.34186301e-23 -8.25631474e-23]",66.0,39.0,0,-0.385,0.11,610,3.3827923698217206
10,"[-3.02808568e-22  2.26824907e-22 -7.78669050e-23 ... -7.35873132e-23
  3.18017722e-23  1.90675890e-23]",114.0,95.0,1,0.734,-0.331,610,7.4922606930120015
11,"[-1.43911740e-22  1.19634938e-22  5.06481455e-23 ... -2.19905573e-23
 -1.00109334e-22 -3.80427435e-23]",42.0,16.0,2,-0.066,-0.267,610,1.7491694024226672
12,"[ 1.34180520e-22 -2.25522071e-23 -1.17941774e-22 ...  2.37957407e-22
  2.76535516e-22  1.19261544e-22]",78.0,31.0,0,0.073,0.221,610,2.466838512242595
13,"[-2.04414413e-24 -8.95729434e-23 -2.02635546e-22 ... -1.15129434e-22
  2.68327840e-23  2.84709254e-22]",117.0,37.0,1,0.455,-0.417,610,3.8787574977369923
14,"[ 1.21586847e-22 -2.71264177e-23  1.79347758e-23 ...  3.90707151e-24
  7.24172004e-23 -8.97912874e-23]",101.0,71.0,1,-0.351,-0.727,610,5.676375456402784
15,"[9.39709899e-23 6.69720380e-24 9.69595267e-23 ... 3.43041439e-22
 5.07301113e-24 1.72220508e-22]",104.0,86.0,1,-0.198,0.712,610,6.878339304613171
16,"[-7.60611827e-24  2.16669140e-22 -2.07491574e-22 ... -1.28043110e-22
  1.33752080e-22 -8.49259824e-23]",115.0,49.0,0,-0.1,0.755,610,4.3280218282788345
17,"[ 2.38699829e-22  4.24392019e-24 -8.67788555e-23 ...  5.73493048e-23
 -2.77451499e-23  5.44094089e-23]",90.0,71.0,2,0.196,0.189,610,5.433275742658708
18,"[ 4.53701989e-23  1.23660475e-23  1.06470541e-22 ... -2.09810371e-22
  7.36897421e-23 -5.04386009e-24]",146.0,98.0,0,-0.256,0.268,610,7.492178652102751
19,"[ 7.99287254e-24 -2.28946761e-22 -1.26394350e-22 ...  4.69211818e-23
 -9.48532979e-23 -1.35749515e-23]",115.0,74.0,1,0.106,0.564,610,6.3395474312233135
20,"[ 6.00033437e-23 -5.87058378e-23  1.35120671e-22 ... -5.22399590e-23
  7.36412536e-23 -1.65137304e-23]",117.0,28.0,2,0.732,0.684,610,3.118789857899885
21,"[ 3.76948209e-23  1.46167768e-23  1.32226235e-23 ... -5.01633022e-23
 -1.70086902e-23 -5.45842230e-23]",124.0,40.0,1,0.494,0.659,610,4.236437785181417
22,"[ 2.34719296e-23  1.60131084e-22  2.24077330e-22 ... -1.84941496e-22
  4.56966918e-23 -3.51737694e-22]",138.0,45.0,2,0.366,0.191,610,4.138172999101982
23,"[-2.35145802e-22 -1.01257492e-22 -2.88897848e-23 ...  1.14587994e-22
  1.09863481e-23  9.48785803e-23]",139.0,129.0,0,-0.792,0.59,610,9.640181266035219
24,"[ 3.96123847e-23 -1.70671457e-22 -2.75581823e-23 ... -3.69406833e-23
 -1.52360097e-22 -1.22148692e-22]",101.0,7.0,0,0.715,-0.774,610,0.8220961072456131
25,"[-9.56565801e-23  6.55501372e-23 -1.27780079e-22 ... -7.40793627e-23
  3.54350519e-23 -3.25548175e-23]",112.0,79.0,0,0.709,0.149,610,4.674220552110644
26,"[ 9.30838849e-24  3.44836898e-22 -1.54809802e-22 ...  1.18075139e-23
  1.71620067e-22 -7.83973939e-23]",135.0,75.0,0,0.729,-0.22,610,6.280489419807461
27,"[-9.73354988e-23  1.71499131e-22  1.06692555e-22 ...  6.88520649e-23
  7.07417756e-23  2.73193222e-23]",58.0,20.0,1,0.097,0.448,610,1.9055237916550496
28,"[-1.86619916e-22  2.92134382e-22  9.32856586e-24 ...  2.01330382e-23
  1.05076448e-22 -4.82015904e-23]",61.0,2.0,1,0.5,0.197,610,0.22887501355241124
