,Waveform,m1,m2,Merger Position,Distance,PSNAR
0,"[ 2.88465343e-23  1.44783316e-22 -8.47505211e-23 ...  1.53424299e-22
 -4.26976662e-23 -1.21490686e-22]",112.0,1.0,1,810,0.1653470706257257
1,"[ 7.37078032e-22  8.73019510e-22  4.11505148e-22 ... -8.50215387e-23
  1.07453300e-22 -4.86217695e-23]",125.0,92.0,2,810,5.29045891628555
2,"[-2.37428612e-22 -2.22481978e-22  9.40955487e-23 ...  4.29690542e-23
 -3.17800753e-22  1.07827676e-22]",55.0,20.358,2,810,1.8675260012357395
3,"[-1.09325981e-22 -7.24203146e-23 -2.12069405e-23 ...  1.84523507e-22
 -1.71614272e-22  2.45397994e-22]",4.0,1.0,0,810,0.0491277663797824
4,"[ 2.84024650e-23  2.17985191e-22  2.97935760e-23 ...  5.99187382e-23
  1.68563630e-22 -3.04499844e-23]",97.0,5.042,1,810,0.4397809120022145
5,"[ 2.53831791e-22  1.81566004e-22  4.14738416e-22 ...  6.85506803e-23
  1.71393777e-22 -7.84016732e-23]",92.0,45.0,1,810,3.5982708626672535
6,"[-7.12359636e-22 -7.55614161e-22 -7.60949938e-22 ... -1.13560306e-23
 -1.19525111e-22  1.15843831e-22]",141.0,71.0,2,810,5.7655881394211175
7,"[-5.16458222e-22 -5.05505981e-22 -4.20593910e-22 ... -8.18103715e-23
  4.75433327e-23 -1.04434152e-23]",144.0,42.0,1,810,3.338627808268111
8,"[ 8.27157884e-23 -9.34977338e-23  9.10751262e-24 ... -4.53834844e-23
  4.62326700e-23  7.73306992e-23]",85.0,44.0,2,810,2.8699926020448454
9,"[ 4.24724654e-22  4.44752348e-22  3.52086067e-22 ...  3.77384326e-23
 -1.13077048e-22 -1.31004229e-22]",112.0,32.0,2,810,2.7869740374301815
10,"[ 7.95300182e-23  1.14467334e-22 -1.24269109e-23 ...  1.19951849e-22
 -1.29796012e-22  1.20975900e-22]",136.0,70.0,0,810,4.996016945676642
11,"[-1.21198802e-22 -2.44882150e-22  1.31101792e-23 ... -4.13183556e-23
  1.13699849e-22 -1.69883781e-22]",130.0,98.0,1,810,5.6734497079436235
12,"[ 8.49204419e-22  7.90519613e-22  7.33811944e-22 ...  1.13644123e-22
 -1.31486398e-22 -1.36847922e-22]",126.0,121.0,0,810,7.485131035976724
13,"[ 2.49873681e-22  4.12974628e-22  1.84348011e-22 ... -8.27507380e-23
  3.80581632e-23 -1.55343398e-22]",69.0,16.0,2,810,1.440191428834386
14,"[ 7.75459399e-24 -4.78235972e-22 -3.77741967e-22 ...  8.68213190e-23
  2.58275553e-22  3.99467943e-23]",119.0,39.0,0,810,2.9759185748826966
15,"[ 4.52162454e-22  5.23366593e-22  6.36638628e-22 ... -7.68067620e-23
 -1.76475544e-23 -1.76983708e-23]",119.0,65.0,1,810,4.978878700271522
16,"[-6.44333045e-22 -4.97673352e-22 -3.46917039e-22 ... -9.95646906e-23
  1.48634505e-23  1.36604479e-22]",78.0,59.0,2,810,3.71594239206608
17,"[-3.52053607e-22 -2.40426284e-22 -4.02040822e-22 ... -1.87814115e-22
 -1.61849274e-22 -1.88442927e-22]",81.0,39.0,1,810,2.662272553664685
18,"[-7.08793894e-22 -4.05468439e-22 -6.47320578e-22 ... -8.90185119e-23
  1.66607549e-22  1.80140405e-22]",143.0,86.0,0,810,5.989348869435795
19,"[ 1.77028638e-22 -5.32678090e-23  1.38543063e-22 ...  4.63738052e-24
 -3.35318523e-23  2.10318065e-23]",150.0,10.0,1,810,1.0911958588152086
20,"[ 4.29018448e-22  6.12705259e-22  5.26247525e-22 ... -1.05652161e-22
  2.27105931e-22  9.29201565e-23]",90.0,66.0,2,810,3.8047453933271758
21,"[ 5.14120659e-22  2.19373901e-23 -2.17968569e-23 ...  1.76758279e-22
 -1.82285226e-22  1.28524202e-22]",101.0,26.0,2,810,2.0285431505136517
22,"[ 1.29342532e-22 -4.44928230e-22 -5.92548860e-23 ...  2.56811565e-23
  2.88837327e-23  4.77117604e-23]",74.0,4.0,1,810,0.4074138175863147
23,"[-5.05779154e-22 -4.33095756e-22 -4.77441544e-22 ...  1.67001699e-22
 -9.75111153e-23 -1.90805098e-22]",64.0,56.0,2,810,3.1072625115284844
24,"[-2.99366337e-22 -1.90981726e-22 -2.45332162e-22 ...  8.22178753e-23
  1.72304443e-22 -1.03014275e-22]",143.0,130.0,0,810,7.817218991717331
25,"[-9.05585915e-23  1.04706434e-22  3.52636870e-23 ...  1.52193610e-22
  2.46543310e-23  1.19044985e-22]",134.0,29.0,2,810,2.4979466398836516
26,"[-2.63076494e-22  2.28631921e-22  6.96070301e-23 ... -1.37502176e-22
 -3.13589828e-23  8.38887135e-23]",111.0,60.0,1,810,3.8416694022459525
27,"[-2.39796176e-22  4.25319153e-23 -1.31292299e-22 ... -1.49582658e-22
 -2.52476624e-23 -4.26752335e-22]",90.0,62.0,2,810,3.932819183798103
28,"[ 3.02268401e-22  4.07387889e-22  2.16123526e-22 ... -2.62780913e-22
 -9.06179968e-23  2.04276227e-22]",149.0,44.0,2,810,3.0199108773337584
